parl_session,person,speech,title,position
61042a817ba645282cb850ae,60d4cc58c4ced20a9c9dfec2,"Уважаеми колеги, на вниманието ви е предложението за заглавие на закона и текстовете на § 1 и § 2. По § 2 има предложение на господин Яни Янев, което не е прието от комисията.
Заповядайте, господин Янев, имате думата.",Председател Георги Пирински,house-speaker
61042a817ba645282cb850ae,60d4cc57c4ced20a9c9dfd13,"„Закон за изменение и допълнение на Закона за Министерството на вътрешните работи”.
Комисията подкрепя текста на вносителя за наименованието на закона.
Комисията подкрепя текста на вносителя за § 1.
По § 2 има предложение от народния представител Яни Янев – в § 2, чл. 1, ал. 1, думата „задачите” да се замени с „целите”.
Комисията не подкрепя предложението.
Комисията подкрепя по принцип текста на вносителя за § 2.",Докладчик Борислав Българинов,rapporteur
61042a817ba645282cb850ae,60d4cc58c4ced20a9c9dfec2,"Предложение за допускане в залата на госпожа Янкулова и госпожа Кузманова от Министерството на вътрешните работи. Има ли възражения срещу това предложение, направено от господин Българинов от името на комисията? Няма възражения. Моля поканете представителките на министерството в пленарната зала.
Господин Българинов, заповядайте да докладвате  законопроекта.",Председател Георги Пирински,house-speaker
61042a817ba645282cb850ae,60d4cc57c4ced20a9c9dfd13,Правя процедурно предложение за допускане в залата на заместник-министъра на вътрешните работи госпожа Соня Янкулова и на началника на кабинета госпожа Николета Кузманова.,Докладчик Борислав Българинов,rapporteur
61042a817ba645282cb850ae,60d4cc58c4ced20a9c9dfec2,"Имаме необходимия кворум. Откривам днешното извънредно заседание на Народното събрание.
Уважаеми колеги, както си спомняте, дневният ред на днешното заседание беше приет от Народното събрание на 11 юли, в петък. Точките от дневния ред са ви известни.

Преминаваме към точка първа от дневния ред:
ВТОРО ЧЕТЕНЕ НА ЗАКОНОПРОЕКТА ЗА ИЗМЕНЕНИЕ И ДОПЪЛНЕНИЕ НА ЗАКОНА ЗА МИНИСТЕРСТВОТО НА ВЪТРЕШНИТЕ РАБОТИ.
Обръщам ви внимание, че с материалите ви е раздаден и допълнителен доклад на Комисията по вътрешна сигурност и обществен ред. Той е постъпил в ранния следобед днес и се отнася за редакцията на параграфи 10, 11, 17 и 39.
Предстои да уточним и процедурата по гласуването на този закон. Доколкото разбирам, има идея гласуването да върви едновременно с докладването и обсъждането на съответните параграфи.
Господин Българинов, заповядайте за процедурно предложение.",Председател Георги Пирински,house-speaker
61042a817ba645282cb850ae,60d4cc57c4ced20a9c9dfd13,"По § 3 има предложение от народните представители Атанас Атанасов и Елиана Масева,  който гласи: „ Член. 2, ал. 1 да отпадне”.
Комисията не подкрепя предложението.
Има предложение от народния представител Яни Янев – в § 3 т. 2 да отпадне (да остане действащият текст на чл. 2 на ал. 3 от Закона за Министерството на вътрешните работи).
Този текст също не е подкрепен от комисията.
Има предложение от народния представител Атанаска  Тенева, което беше оттеглено в комисията.
Има предложение от народния представител Камен Костадинов, което е прието по принцип от комисията.
Комисията подкрепя по принцип текста на вносителите и предлага следната редакция на § 3:
„§ 3. В чл. 2 се правят следните изменения:
1. Алинея 1 се изменя така:
„(1) Министерството на вътрешните работи е администрация с йерархично устройство и централизирано управление за защита на правата и свободите на гражданите, гарантиране на тяхната и на обществото сигурност и спазване на установения правов ред.”
2. Алинея 3 се отменя.”",Докладчик Борислав Българинов,rapporteur
61042a817ba645282cb850ae,60d4cc58c4ced20a9c9dfec2,"Процедурно предложение за преминаване към гласуване след представяне и обсъждане на параграфите в хода на днешното пленарно заседание.
Гласувайте това предложение.
Гласували 161 народни представители: за 154, против 2, въздържали се 5.
Процедурното предложение се приема.
Преминаваме към гласувания по представените от господин Българинов текстове.
Първо подлагам на гласуване предложението на народния представител Яни Янев за промяна в ал. 1 на чл. 1, което комисията не е подкрепила.
Гласувайте предложението на господин Янев.
Гласували 154 народни представители: за 34, против 50, въздържали се 70.
Предложението не се приема.
Няма предложение за прегласуване.
Подлагам на гласуване едновременно предложението за заглавие на законопроекта, текстовете на § 1 и на § 2 по вносител.
Гласували 141 народни представители: за 138, против няма, въздържали се 3.
Текстовете са приети.
Заповядайте за § 3, господин Българинов.",Председател Георги Пирински,house-speaker
61042a817ba645282cb850ae,60d4cc5ac4ced20a9c9e0342,"Уважаеми господин председателю, уважаеми дами и господа! Моля гласуването на закона да става текст по текст.",Татяна Дончева,parl-member
61042a817ba645282cb850ae,60d4cc58c4ced20a9c9dfec2,"Благодаря Ви, господин Янев.
Има ли реплики към господин Янев? Няма.
Уважаеми колеги, трябва да уточним как ще процедираме с гласуването – гласуваме ли текстовете или ги четем сега без гласуване.
Заповядайте за процедурно предложение, госпожо Дончева.",Председател Георги Пирински,house-speaker
61042a817ba645282cb850ae,60d4cc57c4ced20a9c9dfc46,"Уважаеми господин председател, колеги! Не искам да изглежда като обикновено заяждане, но тук не е въпросът просто във формалната смяна на думите. Пред нас е промяната на един устройствен закон и когато говорим в този закон за задачи, това се отнася за ежедневната, конкретната работа, с която трябва да се занимават органите на МВР в тяхната дейност. Текстът на чл. 1 е принципен текст, той е въвеждащ текст, който определя основни параметри на онова, което регламентира този закон. От тази гледна точка задачата като елемент на една ежедневна оперативна дейност не може да бъде основен термин, заложен в най-общия, първия текст на закона.  Моето предложение е вместо да бъде „задачите” да бъде „целите”. Напълно естествено е, когато имаме такъв устройствен закон, в първия текст да се коментират точно тези неща – основните  параметри, цели, принципи и т.н., така както са и останалите понятия, заложени в чл. 1.
От тази гледна точка ви предлагам да подкрепите моето предложение. Благодаря за вниманието.",Яни Янев,parl-member
