parl_session,person,speech,title,position
6159b1150c2ffb2f4e71b314,60d4cc59c4ced20a9c9e02df,"Благодаря Ви, господин Цонев.
Предвид на големия дебат за тази комисия, предвид напрежението, което се създаваше и предвид на това, че беше внесен проект и след това оттеглен и отново е внесен проект на основание чл. 53, ал. 5, включвам точката на мястото на отпадналата точка. Смятам, че така не най-балансирано и най-справедливо. Благодаря Ви.
Продължаваме с Проекта за правилник на Народното събрание.
По чл. 16 има предложение на народния представител Любомир Каримански за наименованието на Икономическата комисия – „Комисия по икономическата политика, иновациите и туризма.“
Моля, режим на гласуване.
Гласували 188 народни представители: за 105, против 42, въздържали се 41.
Предложението е прието.
В такъв случай няма да подлагам предложението от редакцията на Комисията.
Преминаваме към следващата спорна комисия – Комисия по образованието. Връщаме се отново на основния текст по вносител, както решихме вчера – „Комисия по образованието и науката“ и отделно „Комисия по въпросите на децата, младежта и спорта“. Ако искате, да ги гласуваме и двете отделни комисии?
Подлагам на гласуване това предложение за две отделни комисии.
Гласували 195 народни представители: за 169, против 3, въздържали се 23.
Предложението е прието.
Преминаваме към предложението на господин Желязков.
Господин Желязков тук ли е? Не го виждам.
Подлагам на гласуване това предложение за наименование – „Комисия по цифровизация, електронно управление и високи технологии.“
Гласували 190 народни представители: за 78, против 67, въздържали се 45.
Предложението не е прието.
Прегласуване искате ли, или не? Не виждам желаещи за прегласуване.
Поставям на гласуване Комисията така, както е предложена по редакция на Комисията – „Комисия по дигитализация, електронно управление и информационни технологии.“
Гласували 200 народни представители: за 147, против 17, въздържали се 36.
Предложението е прието.
Преминаваме към предложението на Мая Манолова за наименование на Комисията по политиките за българите в чужбина като „Комисия по политиките за българите извън страната.“
Моля, режим на гласуване.
Гласували 198 народни представители: за 117, против 37, въздържали се 44.
Предложението е прието, а с това и всички направени във вчерашния ден предложения.
Преминаваме към гласуване на наименованието на Глава пета и чл. 16 в редакцията на Комисията с приетите вече предложения.
Гласували 200 народни представители: за 197, против няма, въздържали се 3.
Предложението е прието.",Председател Ива Митева,house-speaker
6159b1150c2ffb2f4e71b314,60d4cc5ac4ced20a9c9e0359,"Благодаря Ви, госпожо Председател.
Процедурата ми е относно отпадането на точката за Временна комисия за установяване на факти и обстоятелства – да не чета цялото заглавие и да Ви спестя време. Аз предлагам, тъй като на мястото на изтегленото предложение от вчера има внесено идентично със същото наименование, същото предложение, точката да остане, като процедурата ми е Вие да я внесете, защото Вие имате това право по Правилника, тъй като вчера беше внесено такова предложение да не отпада точката – така и така е в дневния ред. Благодаря.",Йордан Цонев,parl-member
6159b1150c2ffb2f4e71b314,60d4cc59c4ced20a9c9e02df,"Благодаря Ви, госпожо Василева.
Моля за едноминутно мълчание. (Всички стават. Едноминутно мълчание.)
Благодаря Ви.
Заповядайте, господин Цонев.",Председател Ива Митева,house-speaker
6159b1150c2ffb2f4e71b314,60d4cc5ac4ced20a9c9e0370,"Благодаря Ви, госпожо Председател.
Уважаеми колеги народни представители, знаете, че вчера загубиха живота си двама от огнеборците, които се борят с пожарите в страната. В Правилника има ред, по който се иска едноминутно мълчание, но смятам, че случаят е извънреден и предлагам да почетем с едноминутно мълчание паметта на двамата огнеборци, чийто живот си отиде в изпълнение на служебните им задължения.",Виктория Василева,parl-member
6159b1150c2ffb2f4e71b314,60d4cc59c4ced20a9c9e02df,"Добър ден, колеги!
Има кворум. Откривам заседанието. (Звъни.)
Колеги, ще Ви уведомя само, че на 4 август е постъпило оттегляне на внесения Проект на решение за създаване на Временна комисия за установяване на факти и обстоятелства относно незаконосъобразни действия и бездействия на компетентните органи  на защитената територия „Колокита“ на полуостров „Буджака“, попадащ в териториалния обхват на община Созопол, внесен от Десислава Атанасова и група народни представители, и поради това тази точка ще отпадне от дневния ред за тази седмица.
Госпожа Василева поиска думата за процедура.
Заповядайте.",Председател Ива Митева,house-speaker
6159b1150c2ffb2f4e71b314,60d4cc5ac4ced20a9c9e0370,"Комисията подкрепя текста за чл. 17.
По чл. 18 има направено предложение на народния представител Ива Митева.
Комисията подкрепа предложението.
Комисията подкрепя по принцип текста и предлага следната редакция на чл. 18:
„Чл. 18. (1) При определяне на състава на постоянните комисии се запазва съотношението между числеността на парламентарните групи с изключение на постоянната комисия по чл. 16, ал. 2, т. 10. Народното събрание може да определи места в постоянните комисии за народните представители, нечленуващи в парламентарна група.
(2) Ръководството на всяка постоянна комисия се състои от председател и до 4 заместник-председатели. Ръководството на комисията организира работата ѝ въз основа на информацията, постъпваща в комисията.
(3) Ръководствата и членовете на постоянните комисии се избират по предложение на парламентарните групи или на народен представител с явно гласуване в цялост, освен ако е направено възражение срещу някой от предложените кандидати.
(4) Председателят на комисията ръководи заседанията и поддържа връзки с председателите на другите комисии и с председателя на Народното събрание.
(5) При отсъствие на председателя той упълномощава един от заместник-председателите да ръководи комисията. При липса на упълномощаване председателят на Народното събрание упълномощава един от заместник-председателите да ръководи комисията.“
По чл. 18а има предложение на народния председател Корнелия Нинова и група народни представители
Комисията подкрепя по принцип предложението, което е отразено на систематичното му място в чл. 21, ал. 7.",Докладчик Виктория Василева,rapporteur
6159b1150c2ffb2f4e71b314,60d4cc59c4ced20a9c9e02df,"Благодаря Ви, господин Вигенин.
Реплики? Не виждам.
Други изказвания? Не виждам.
Подлагам на гласуване предложението на народния представител Корнелия Нинова и група народни представители за създаване на чл. 16а.
Гласували 191 народни представители: за 43, против 89, въздържали се 59.
Предложението не е прието.",Председател Ива Митева,house-speaker
6159b1150c2ffb2f4e71b314,60d4cc5ac4ced20a9c9e0320,"Благодаря, уважаема госпожо Председател.
Уважаеми госпожи и господа народни представители! Предложението, което сме направили, е на база на опита от предишни народни събрания и на моя персонален като председател на Комисията по европейските въпроси и контрол на европейските фондове.
Нуждата от някаква форма на постоянна координация между председателите на комисии, а тук в този парламент има и други такива, се е доказала във времето. Много често се оказва, че председателите на комисии, особено които идват от различни политически групи, нямат възможността да координират в достатъчна степен както законодателната програма на Народното събрание и начина, по който законодателството минава и се планира в различните комисии, а така и някои други технически въпроси от дейността на комисиите, свързани с взаимодействието между тях, включително на равнище експерти, и с други въпроси, които са важни за функционирането на парламента.
Всъщност моторът на едно Народно събрание са именно комисиите и затова такъв тип координация наистина е нужна за ефективната работа на парламента. Ние това, включително и по моя инициатива, сме го правили ад хок, но както и в други парламенти, включително в Европейския парламент, впрочем, има такъв формат на Съвет на комисиите, който наистина е много полезен.
Затова сме направили това предложение. Смятам, че подкрепата за това не е опит да се изземат функции на един или друг орган – вече съществуващ или който сега ще въведем в работата на Народното събрание. Това не е изземване на функциите на Председателския съвет, каквито колебания може да има, това просто е един начин за комуникация, координация между комисиите и техните председатели. Смятам, че ще е полезно и Ви предлагам да подкрепим това предложение на парламентарната група на „БСП за България“. Благодаря.",Кристиан Вигенин,parl-member
6159b1150c2ffb2f4e71b314,60d4cc59c4ced20a9c9e02df,"Изказвания по предложението за създаване на чл. 16а?
Господин Вигенин, заповядайте.",Председател Ива Митева,house-speaker
6159b1150c2ffb2f4e71b314,60d4cc5ac4ced20a9c9e0370,"Има направено предложение от народния представител Корнелия Нинова и група народни представители за създаване на нов член 16а.
Комисията не подкрепя предложението.",Докладчик Виктория Василева,rapporteur
