parl_session,person,paragraphs,title,position
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Моля да гласуваме направеното процедурно предложение госпожа Михайлова да бъде допусната до пленарна зала.
Гласували 91 народни представители: за 90, против няма, въздържал се 1.
Процедурно предложение е прието.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"Благодаря, госпожо председател.
Ако ми разрешите, ще направя процедурно предложение. Към вчера допуснатите в залата колеги от Националното управление по горите моля да бъде допусната в залата и госпожа Албена Михайлова, директор на Правната дирекция в управлението.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Овчаров.
Моля да гласуваме състава на временната комисия заедно с нейния председател ан блок. Предложенията за останалите членове бяха направени вчера.
Моля, гласувайте!
Гласували 133 народни представители: за 132, против няма, въздържал се 1.
Решението за състава на комисията е прието.

Следваща точка от дневния ред е:
ВТОРО ЧЕТЕНЕ НА ЗАКОНА ЗА ГОРИТЕ.
Господин Моллов, заповядайте.
Вчера стигнахме до § 6.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dff15,"Уважаема госпожо председател, уважаеми колеги, от името на Парламентарната група на Коалиция за България предлагам в комисията да влязат народните представители Татяна Дончева и Бойко Рашков.",Румен Овчаров,parl-member
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Откривам заседанието с:
ПРОЕКТ ЗА РЕШЕНИЕ ЗА СЪЗДАВАНЕ НА ВРЕМЕННА КОМИСИЯ ПО ИСКАНЕТО НА ГЛАВНИЯ ПРОКУРОР ЗА РАЗРЕШЕНИЕ ЗА ВЪЗБУЖДАНЕ НА НАКАЗАТЕЛНО ПРЕСЛЕДВАНЕ СРЕЩУ НАРОДНИЯ ПРЕДСТАВИТЕЛ НИКОЛА ДЖИПОВ НИКОЛОВ.
Моля Парламентарната група на Коалиция за България да представи своите членове на комисията по искането на главния прокурор.
Господин Овчаров, заповядайте, за да представите своите предложения за членове на временната комисия.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 8 е направено предложение от народния представител Пламен Моллов за отпадане на параграфа, което е подкрепено от комисията.
Има предложение от народния представител Васил Калинов, което беше оттеглено.
Има предложение от народния представител Теодора Литрова, което не е подкрепено от комисията.
Комисията предлага § 8 да отпадне.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря.
Има ли изказвания по § 7? Няма.
Гласуваме § 7 в редакцията на комисията.
Моля, гласувайте!
Гласували 109 народни представители: за 105, против няма, въздържали се 4.
Параграф 7 е приет.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 7 има направено предложение от народния представител Пламен Моллов, което е подкрепено от комисията.
Има предложение от народния представител Васил Калинов, което беше оттеглено.
Комисията предлага следната редакция за § 7:
“§ 7. В чл. 8 се правят следните изменения и допълнения:
1. Досегашният текст става ал. 1.
2. Създава се ал. 2:
“(2) Гори – публична общинска собственост са:
1. горите и земите от общинския горски фонд, предоставени за управление на ведомства за изпълнение на функциите им или във връзка с отбраната и сигурността на страната, или за извършване на здравни, образователни и хуманитарни дейности;
2. горите и земите от горския фонд в защитените територии по смисъла на Закона за защитените територии – общинска собственост;
3. горите и земите от общинския горски фонд, включени в териториите за културноисторическа защита по Закона за паметниците на културата и музеите;
4. горите за защита на инженерно-технически съоръжения”.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря Ви, господин Моллов.
За изказвания по § 6 няма желаещи.
Гласуваме § 6 в редакцията, предложена от комисията.
Гласували 89 народни представители: за 84, против няма, въздържали се 5.
Параграфът е приет.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 6 има направено предложение от народните представители Владислав Костов и Венцислав Върбанов, което е подкрепено от комисията по принцип.
По принцип е подкрепено и предложението на народния представител Пламен Моллов.
Комисията предлага следната редакция за § 6:
“§ 6. В чл. 7 се правят следните изменения и допълнения:
1. В ал. 2:
а) точка 1 се изменя така:
“1. горите в защитените територии, определени за изключителна държавна собственост със Закона за защитените територии”;
б) точка 2 се изменя така:
“2. островите по граничните реки”;
в) точка 3 се изменя така:
“3. горите в зоните за строга охрана на водата и водовземните съоръжения, семепроизводните градини, географските култури и дендрариумите”.
2. Алинея 3 се изменя така:
“(3) Публична държавна собственост са:
1. горите и земите от държавния горски фонд, предоставени за управление на ведомства за изпълнение на функциите им или във връзка с отбраната и сигурността на страната, или за извършване на здравни, образователни и хуманитарни дейности;
2. горите и земите от горския фонд – държавна собственост в защитените територии по смисъла на Закона за защитените територии;
3. горите и земите от държавния горски фонд, включени в територии за културноисторическа защита по Закона за паметниците на културата и музеите, чието предназначение е определено с подробен устройствен план;
4. горите в териториите от 200-метровата ивица покрай границите на Република България с изключение на островите по граничните реки, включително 200-метровата ивица по бреговата тераса на р. Дунав;
5. защитените горски пояси;
6. горите за защита на инженерно-технически съоръжения”.
3. Създават се ал. 4 и 5:
“(4) Частна държавна собственост са всички други гори и земи от държавния горски фонд.
(5) Горите и земите от държавния горски фонд се стопанисват като национално богатство в интерес на цялото общество”.",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря.
Има ли желаещи за изказване по тези два параграфа? Няма.
Гласуваме § 9 и 10 ан блок, които стават § 8 и 9.
Гласували 98 народни представители: за 98, против и въздържали се няма.
Параграфите са приети.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdeb,"По § 9 и 10 комисията подкрепя текста на вносителя:
“§ 9. В глава първа наименованието на раздел III се изменя така: “Промени в горския фонд и разпореждане с гори и земи от горския фонд”.
§ 10. Член 12 се изменя така:
“Чл. 12. Промените в горския фонд представляват включване или изключване на гори и земи от горския фонд.”",Докладчик Пламен Моллов,rapporteur
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfdc0,"Благодаря, господин Костов.
Има ли други изказвания по § 8? Няма.
Гласуваме предложението на Теодора Литрова, което беше подкрепено и от господин Костов в залата, но не е подкрепено от комисията.
Моля, гласувайте това предложение.
Гласували 111 народни представители: за 36, против 72, въздържали се 3.
Предложението не се приема.
Гласуваме отпадането на § 8 по предложение на комисията.
Гласували 106 народни представители: за 85, против 18, въздържали се 3.
Параграфът отпада.",Председател Камелия Касабова,house-speaker
61042a807ba645282cb84a3a,60d4cc58c4ced20a9c9dfd2f,"Уважаема госпожо председател, уважаеми колеги, § 8 касае чл. 9. Този параграф е много съществен, защото вносителят правилно е преценил, че трябва да има такава постановка в Закона за изменение и допълнение на Закона за горите, а именно, че горите и земите от горския фонд – частна собственост, се стопанисват с цел задоволяване потребностите на собствениците им. Става въпрос за частния фонд. Те са собственост на отделни физически или юридически лица, които като собственици имат право да ги ползват и да се разпореждат с тези земи при условията на този закон.
Не мога да разбера защо се иска отпадането им с предложението на господин Пламен Моллов. Лично аз смятам, че предложението, което прави господин Моллов, малко нарушава концепцията и философията на закона – да се възстановят горите, да се запазва частната собственост на горите и интересите на самите собственици на горите, било то отделни физически, било юридически лица, под формата на дружества, горовладелски кооперации и т.н. Тоест, това е един охранителен текст.
Аз подкрепям предложението на госпожа Теодора Литрова, която не забелязвам в момента в залата. То заостря вниманието ни върху този член, внесен от Министерския съвет. Нейното предложение е след израза “потребностите на собствениците им” текстът да се допълни с “без да се нарушават интересите на трети лица и в съответствие с целта, посочена в чл. 1, ал. 2 от закона”.
Затова предлагам този текст на закона да остане, като се допълни с предложението на народната представителка госпожа Теодора Литрова.",Владислав Костов,parl-member
